"V1" "V2" "V3"
"1" -0.354517 0.573051 -0.17523
"2" 0.561655 -0.368095 1.090042
"3" 0.315551 -0.577052 0.425472
"4" 3.347049 1.08852 1.149353
"5" -0.122389 -0.694153 -0.766538
"6" -0.251276 -0.017487 -1.36741
"7" -0.517996 -0.817974 -1.559255
"8" 1.888854 -0.658335 1.007614
"9" 0.461254 0.463916 -0.8983
"10" 2.237483 1.533398 0.180512
"11" 0.480991 -0.096545 -0.352276
"12" 0.165901 -1.341994 -1.445909
"13" 1.864947 1.027419 0.677408
"14" -0.466245 -0.138712 -0.759287
"15" 2.567804 0.483444 0.959731
"16" -0.024201 -0.507631 -0.517296
"17" -1.912698 0.76172 -1.901134
"18" -1.350069 -0.736562 2.318569
"19" 0.433773 0.72388 0.111837
"20" -0.977083 0.155868 -0.897112
"21" 1.611976 -0.29512 0.881524
"22" -0.767996 -1.903001 1.055233
"23" 0.837057 -0.320148 0.297111
"24" 0.412364 0.206923 -0.527616
"25" 0.574638 -0.805411 0.766234
"26" 0.703489 -0.120334 0.510023
"27" -0.226553 1.809094 -0.761952
"28" -0.31945 -0.28685 -0.860617
"29" 3.241508 2.345841 0.284032
"30" -1.762349 -0.514367 -1.172163
"31" 1.593459 0.935259 0.858773
"32" -1.93716 -1.231314 -0.238721
"33" 2.449433 0.989511 2.269332
"34" -0.006972 1.741643 1.454726
"35" 3.177512 2.92044 -0.798064
"36" 0.364904 1.35079 -1.084402
"37" 0.293184 -0.180285 0.271133
"38" 0.727833 -0.406621 0.683911
"39" -3.469994 -1.394741 -0.969746
"40" 1.988507 1.391452 0.477161
"41" 0.148417 0.446963 0.080041
"42" -1.54051 -1.901113 -0.567542
"43" 2.37778 1.454362 -0.864173
"44" 0.512387 -0.016467 1.720828
"45" -1.003328 -0.064293 -0.935022
"46" -2.54926 -1.408419 -2.4647
"47" -1.385431 -1.530256 0.228302
"48" -0.181415 -0.416403 -0.705694
"49" 0.527315 -0.090957 -0.097848
"50" -1.249132 -1.798971 -0.392073
"51" -1.05082 -0.78157 -0.582116
"52" 2.137325 0.888866 0.307441
"53" -2.379325 -1.888729 -1.007475
"54" 0.987712 0.729798 -0.582148
"55" -0.546571 -0.941943 0.039957
"56" 1.287695 0.848458 0.324797
"57" 3.695446 0.03434 0.3819
"58" -0.814273 0.028456 -1.228212
"59" 0.578555 0.361164 0.628857
"60" -0.119108 -1.078322 -0.457704
"61" 2.729056 0.29954 0.482481
"62" 1.08924 1.426606 -1.35569
"63" 2.409427 -0.053378 0.747981
"64" -1.041305 -1.13267 -0.505691
"65" 1.119937 1.38047 -0.402537
"66" 1.65447 0.013793 1.688172
"67" 0.213221 -0.907102 0.261102
"68" 1.28294 1.324936 0.849888
"69" -2.169774 -2.81328 0.163674
"70" -0.636365 -0.87438 -0.730827
"71" 3.530071 0.53401 0.472889
"72" -0.527965 -1.067363 -0.464499
"73" 2.402985 0.144324 2.007878
"74" -0.059235 0.246356 0.005238
"75" -0.326131 -1.112683 -0.031886
"76" -2.182948 0.127302 -0.615425
"77" -2.270961 -1.452235 -2.448208
"78" 0.911137 1.541636 -0.855961
"79" 1.356788 2.147528 0.708057
"80" 3.411135 1.776425 -0.452946
"81" 0.876665 1.007635 -0.220893
"82" 1.923662 1.480979 0.045692
"83" 0.179295 0.854209 -0.071102
"84" 0.268582 -0.05709 -0.04217
"85" -3.840084 -1.154268 -0.833996
"86" -1.389339 -1.265762 -0.354129
"87" 0.80531 0.147681 0.611826
"88" -3.447094 -1.838382 -1.514798
"89" 0.137839 -0.922427 -0.239804
"90" 2.794263 1.223379 1.660074
"91" -1.107033 -0.479457 -0.097246
"92" 0.07641 -0.180804 0.730006
"93" -0.461213 0.211655 -0.79927
